N,error
1.280000000000000000e+02,1.588392164611401175e-02
2.560000000000000000e+02,4.327507966849357581e-14
5.120000000000000000e+02,4.745702647915789986e-14
1.024000000000000000e+03,3.272311295113230059e-14
2.048000000000000000e+03,4.521787748203329757e-14
