dt,error
5.999999999999999778e-02,8.231490776521649606e-05
2.999999999999999889e-02,2.056268868636473526e-05
1.499999999999999944e-02,5.125536950157286273e-06
7.499999999999999722e-03,1.266305449831931855e-06
3.749999999999999861e-03,3.015010974735941753e-07
